dimension_id,dimension_group,dimension_label,source_status,profile_role,review_note
post_office,civic_anchor,Post office,active_reviewed_civic_layer,postal_identity_anchor,Use reviewed OSM/Overpass post-office layer as first postal civic proxy
library,civic_anchor,Public library,active_reviewed_civic_layer,civic_service_anchor,Use reviewed OSM/Overpass library layer as first civic service proxy
park,civic_anchor,Park or public open space,active_reviewed_civic_layer,everyday_public_amenity,Use reviewed OSM/Overpass named park/open-space layer as first public amenity proxy
transit_center,civic_anchor,Transit center,active_reviewed_civic_layer,mobility_anchor,Use reviewed OSM/Overpass transit-center layer as first mobility anchor proxy
bank_credit_union,everyday_anchor,Bank or credit union,active_reviewed_everyday_layer,routine_errand_finance_anchor,Use reviewed OSM/Overpass bank-credit-union layer as first finance errand proxy
pharmacy,everyday_anchor,Pharmacy,active_reviewed_store_layer,routine_health_errand_anchor,Use reviewed drugstore layer as first pharmacy proxy
gym,everyday_anchor,Gym or fitness center,source_gate_pending,routine_service_anchor,Reviewed POI source needed before counting rows
laundromat,everyday_anchor,Laundromat,source_gate_pending,routine_service_anchor,Reviewed POI source needed before counting rows
gas_convenience,everyday_anchor,Gas or convenience store,source_gate_pending,routine_trip_anchor,Reviewed POI source needed before counting rows
dollar_store,everyday_anchor,Dollar store,source_gate_pending,value_errand_anchor,Reviewed POI source needed before counting rows
hardware,everyday_anchor,Hardware store,source_gate_pending,small_trade_anchor,Reviewed POI source needed before counting rows
