"region","field_id","label","anchor_field","base_service_quarter_class","lan_texture_class","finance_signal","tax_prep_signal","insurance_signal","real_estate_texture_class","loan_mortgage_fetch_status","loan_mortgage_packet_ready_rows","loan_mortgage_excluded_rows","loan_mortgage_source_gated_tiles","loan_mortgage_pilot_signal","loan_mortgage_texture_class","next_loan_mortgage_priority","synthesis_note","claim_boundary"
"washington","kitsap-mall","Kitsap Mall / Silverdale field","kitsap_regional_mall_field","confirmed_service_quarter_finance_observed","service_quarter_structured_lan_checked_absent","observed","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","service_quarter_with_observed_real_estate_texture","fetched","0","0","0","checked_absent_loan_mortgage_regex","service_quarter_loan_mortgage_regex_checked_absent","loan_mortgage_alternate_source_optional","No packet-ready loan/mortgage regex rows observed in the bounded OSM pass; absence is profile-specific, not a claim of no lenders.","Public footprint evidence only: named loan, mortgage, lending, funding, NMLS, or home-loan office signal. Excludes banks/credit unions, ATM-only rows, payday/check-cash/title-loan/pawn candidates, and real-estate rows without loan signal. Not credit quality, income, wealth, demand, borrower identity, protected traits, or individual behavior."
"chicago","ford-city-cicero","Midway / Ford City field","southwest_airport_edge_field","confirmed_service_quarter_finance_observed","service_quarter_structured_lan_checked_absent","observed","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","service_quarter_with_observed_real_estate_texture","fetched","0","0","0","checked_absent_loan_mortgage_regex","service_quarter_loan_mortgage_regex_checked_absent","loan_mortgage_alternate_source_optional","No packet-ready loan/mortgage regex rows observed in the bounded OSM pass; absence is profile-specific, not a claim of no lenders.","Public footprint evidence only: named loan, mortgage, lending, funding, NMLS, or home-loan office signal. Excludes banks/credit unions, ATM-only rows, payday/check-cash/title-loan/pawn candidates, and real-estate rows without loan signal. Not credit quality, income, wealth, demand, borrower identity, protected traits, or individual behavior."
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","confirmed_service_quarter_finance_dense","service_quarter_with_dense_legal_accounting_texture","observed_dense","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","service_quarter_with_observed_real_estate_texture","fetched","0","0","0","checked_absent_loan_mortgage_regex","service_quarter_loan_mortgage_regex_checked_absent","loan_mortgage_alternate_source_optional","No packet-ready loan/mortgage regex rows observed in the bounded OSM pass; absence is profile-specific, not a claim of no lenders.","Public footprint evidence only: named loan, mortgage, lending, funding, NMLS, or home-loan office signal. Excludes banks/credit unions, ATM-only rows, payday/check-cash/title-loan/pawn candidates, and real-estate rows without loan signal. Not credit quality, income, wealth, demand, borrower identity, protected traits, or individual behavior."
"dallas","arlington-grand-prairie","Arlington / Grand Prairie field","midcities_power_event_field","confirmed_service_quarter_finance_observed","service_quarter_with_observed_legal_accounting_texture","observed","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","service_quarter_with_observed_real_estate_texture","fetched","1","0","0","observed_loan_mortgage_texture","service_quarter_with_observed_loan_mortgage_edge","loan_mortgage_edge_observed","Bounded loan/mortgage regex adds observed finance-edge office texture separate from banks, credit unions, and real-estate offices.","Public footprint evidence only: named loan, mortgage, lending, funding, NMLS, or home-loan office signal. Excludes banks/credit unions, ATM-only rows, payday/check-cash/title-loan/pawn candidates, and real-estate rows without loan signal. Not credit quality, income, wealth, demand, borrower identity, protected traits, or individual behavior."
"los_angeles","downtown-koreatown-midwilshire","Downtown LA / Koreatown / Mid-Wilshire field","urban_core_mixed_service_field","confirmed_service_quarter_finance_dense","service_quarter_with_dense_legal_accounting_texture","observed_dense","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","service_quarter_with_observed_real_estate_texture","tiled_retry_partial_source_gated","1","1","1","observed_loan_mortgage_texture","service_quarter_with_observed_loan_mortgage_edge","loan_mortgage_tile_retry_optional","Bounded loan/mortgage regex observed packet-ready rows, but one retry tile remained source-gated; keep the field as observed with optional tile closeout.","Public footprint evidence only: named loan, mortgage, lending, funding, NMLS, or home-loan office signal. Excludes banks/credit unions, ATM-only rows, payday/check-cash/title-loan/pawn candidates, and real-estate rows without loan signal. Not credit quality, income, wealth, demand, borrower identity, protected traits, or individual behavior."
"los_angeles","long-beach-lakewood","Long Beach / Lakewood field","port_coastal_grid_mall_service_field","confirmed_service_quarter_finance_dense","service_quarter_with_observed_legal_accounting_texture","observed_dense","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","service_quarter_with_observed_real_estate_texture","tiled_retry_fetched","5","3","0","observed_loan_mortgage_texture","service_quarter_with_observed_loan_mortgage_edge","loan_mortgage_edge_observed","Bounded loan/mortgage regex adds observed finance-edge office texture separate from banks, credit unions, and real-estate offices.","Public footprint evidence only: named loan, mortgage, lending, funding, NMLS, or home-loan office signal. Excludes banks/credit unions, ATM-only rows, payday/check-cash/title-loan/pawn candidates, and real-estate rows without loan signal. Not credit quality, income, wealth, demand, borrower identity, protected traits, or individual behavior."
"los_angeles","ontario-rancho-cucamonga","Ontario Mills / Rancho Cucamonga field","inland_freeway_power_center_field","confirmed_service_quarter_finance_observed","service_quarter_with_observed_legal_accounting_texture","observed","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","service_quarter_with_observed_real_estate_texture","fetched","3","1","0","observed_loan_mortgage_texture","service_quarter_with_observed_loan_mortgage_edge","loan_mortgage_edge_observed","Bounded loan/mortgage regex adds observed finance-edge office texture separate from banks, credit unions, and real-estate offices.","Public footprint evidence only: named loan, mortgage, lending, funding, NMLS, or home-loan office signal. Excludes banks/credit unions, ATM-only rows, payday/check-cash/title-loan/pawn candidates, and real-estate rows without loan signal. Not credit quality, income, wealth, demand, borrower identity, protected traits, or individual behavior."
"los_angeles","riverside-tyler-corona","Riverside / Tyler / Corona edge field","inland_secondary_core_growth_field","confirmed_service_quarter_finance_observed","service_quarter_with_observed_legal_accounting_texture","observed","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","service_quarter_with_observed_real_estate_texture","fetched","4","0","0","observed_loan_mortgage_texture","service_quarter_with_observed_loan_mortgage_edge","loan_mortgage_edge_observed","Bounded loan/mortgage regex adds observed finance-edge office texture separate from banks, credit unions, and real-estate offices.","Public footprint evidence only: named loan, mortgage, lending, funding, NMLS, or home-loan office signal. Excludes banks/credit unions, ATM-only rows, payday/check-cash/title-loan/pawn candidates, and real-estate rows without loan signal. Not credit quality, income, wealth, demand, borrower identity, protected traits, or individual behavior."
"los_angeles","south-bay-torrance","South Bay / Torrance field","coastal_suburban_mall_auto_service_field","confirmed_service_quarter_finance_dense","service_quarter_with_observed_legal_accounting_texture","observed_dense","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","service_quarter_with_observed_real_estate_texture","tiled_retry_fetched","5","0","0","observed_loan_mortgage_texture","service_quarter_with_observed_loan_mortgage_edge","loan_mortgage_edge_observed","Bounded loan/mortgage regex adds observed finance-edge office texture separate from banks, credit unions, and real-estate offices.","Public footprint evidence only: named loan, mortgage, lending, funding, NMLS, or home-loan office signal. Excludes banks/credit unions, ATM-only rows, payday/check-cash/title-loan/pawn candidates, and real-estate rows without loan signal. Not credit quality, income, wealth, demand, borrower identity, protected traits, or individual behavior."
"los_angeles","west-la-century-city-culver","West LA / Century City / Culver City field","affluent_office_retail_service_field","confirmed_service_quarter_finance_dense","service_quarter_with_dense_legal_accounting_texture","observed_dense","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","service_quarter_with_observed_real_estate_texture","fetched","0","1","0","checked_absent_loan_mortgage_regex","service_quarter_loan_mortgage_regex_checked_absent","loan_mortgage_alternate_source_optional","No packet-ready loan/mortgage regex rows observed in the bounded OSM pass; absence is profile-specific, not a claim of no lenders.","Public footprint evidence only: named loan, mortgage, lending, funding, NMLS, or home-loan office signal. Excludes banks/credit unions, ATM-only rows, payday/check-cash/title-loan/pawn candidates, and real-estate rows without loan signal. Not credit quality, income, wealth, demand, borrower identity, protected traits, or individual behavior."
"philadelphia","cherry-hill-moorestown","Cherry Hill / Moorestown field","south_jersey_mall_edge_field","confirmed_service_quarter_finance_dense","service_quarter_with_observed_legal_accounting_texture","observed_dense","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","service_quarter_with_observed_real_estate_texture","tiled_retry_fetched","1","0","0","observed_loan_mortgage_texture","service_quarter_with_observed_loan_mortgage_edge","loan_mortgage_edge_observed","Bounded loan/mortgage regex adds observed finance-edge office texture separate from banks, credit unions, and real-estate offices.","Public footprint evidence only: named loan, mortgage, lending, funding, NMLS, or home-loan office signal. Excludes banks/credit unions, ATM-only rows, payday/check-cash/title-loan/pawn candidates, and real-estate rows without loan signal. Not credit quality, income, wealth, demand, borrower identity, protected traits, or individual behavior."
