stratum,priority,why_it_matters,seed_requirement,depth_trigger
Pacific Northwest,complete_baseline,"Washington already covers coastal, island, agricultural, and mountain-edge cases.","Use as baseline and regression test for preflight tooling.","Revisit only if breadth sample contradicts food-service minimum."
Deep South,complete_baseline,"Georgia adds smaller incorporated places and southern settlement patterns.","Use as baseline and regression test for preflight tooling.","Revisit only if source gates mask post-office-only candidates."
Great Lakes Midwest,complete_baseline,"Illinois adds Midwest small towns and suburban/source-gated contrast.","Use as baseline and regression test for preflight tooling.","Revisit source-gated suburban boxes if needed."
New England,next_wave,"Older town/village settlement systems may differ from western and southern pilot states.","Reviewed OSM post-office extract plus settlement-size join.","Depth review if village centers show postal-only or civic-only stacks."
Appalachia,next_wave,"Rural valleys and small county seats may expose minimum-service variants.","Reviewed OSM post-office extract plus settlement-size join.","Depth review if food-service is absent or source-gated at high rates."
Great Plains,next_wave,"Sparse agricultural towns are a strong test for post office plus food-service minimum.","Reviewed OSM post-office extract plus settlement-size join.","Depth review for post-office-only or gas-only stacks."
Mountain West,next_wave,"Long-distance service centers and tourist/gateway towns may differ from Midwest/South patterns.","Reviewed OSM post-office extract plus settlement-size join.","Depth review for resort, gateway, and isolated postal stacks."
Southwest Borderlands,next_wave,"Border, desert, tribal, and colonia-adjacent settlement systems may stress the current method.","Reviewed OSM post-office extract plus settlement-size join.","Depth review where OSM/API or postal locality semantics are source-gated."
California Interior,next_wave,"Large-state interior towns test agricultural, exurban, and corridor settlement forms.","Reviewed OSM post-office extract plus settlement-size join.","Depth review for chain-rich versus local-service-only contrast."
Island And Remote,oversample,"Island and remote communities are likely outliers for local-service evidence.","Reviewed open post-office extract with explicit island/remote stratum.","Depth review for postal-only, ferry/tourist, and seasonal-service cases."
