source_id,field_id,layer,source_name,source_url,review_date,evidence_status,evidence_value,packet_use,claim_boundary
KSA4-001,kingston-wa,finance,Kitsap Credit Union Kingston branch,https://kitsapcu.org/locations/kingston/,2026-08-17,packet_ready,"Official branch page lists a Kingston branch and ATM at 8196 NE State Hwy 104, Kingston WA 98346, with notary listed among services.",Direct Kingston finance-footprint evidence; also supports notary texture as a secondary service.,Not income wealth credit customers assets demand or service adequacy.
KSA4-002,kingston-wa,finance,Kitsap Bank locations page,https://www.kitsapbank.com/about-us/locations/,2026-08-17,packet_ready,"Official locations page lists Kingston Branch at 8190 NE State Hwy 104, Kingston WA 98346.",Direct Kingston bank-branch evidence.,Not income wealth credit customers assets demand or service adequacy.
KSA4-003,kingston-wa,tax_accounting,North Kitsap Accounting,https://northkitsap-accounting.com/,2026-08-17,packet_ready_with_profile_caveat,"Business site describes a local CPA firm offering accounting and tax services and lists Kingston WA 98346 contact footprint.",Local tax/accounting texture for A.4 scoring; not an exact-brand H&R Block/Jackson Hewitt/Liberty Tax row.,Not tax-customer identity income wealth demand quality or service adequacy.
KSA4-004,kingston-wa,notary,Kingston Mail and Print notary page,https://www.kingstonmailandprint.com/Home-Business/Notary-Public,2026-08-17,packet_ready,"Business page lists on-site notary public services at 8202 NE State Highway 104 Ste 102, Kingston WA 98346.",Direct Kingston notary evidence for legal/accounting/notary texture.,Not legal advice volume customer identity demand quality or service adequacy.
KSA4-005,kingston-wa,legal,Law Office of Isaac A. Anderson contact page,https://isaacandersonlaw.com/location/,2026-08-17,packet_ready,"Law office contact page lists 10950 State Highway 104 Suite 201, Kingston WA 98346.",Direct Kingston legal-office evidence for LAN texture.,Not professional quality client identity demand case volume service adequacy or legal outcome.
KSA4-006,kingston-wa,legal,Law Office of Kate Moglia PLLC,https://kitsaplawoffice.com/,2026-08-17,packet_ready_with_locality_caveat,"Law office site lists a Poulsbo office and Kingston mailing address at 8202 NE State Hwy 104 #102-221.",Legal-service texture with locality caveat; useful as supporting context, not a clean Kingston storefront row.,Not professional quality client identity demand case volume service adequacy or legal outcome.
KSA4-007,kingston-wa,insurance,Paula Weissinger State Farm Agency chamber page,https://kingstonchamber.com/directory-chamber/business/state-farm-paula-weissinger/,2026-08-17,packet_ready_with_locality_caveat,"Kingston chamber page describes Paula Weissinger State Farm Agency as serving Bainbridge Island and Kitsap County and lists insurance services.",Insurance agency texture for the ferry-side field with storefront-locality caveat.,Not insurance customers risk coverage assets income demand or service adequacy.
KSA4-008,kingston-wa,loan_mortgage,Angela Clark NMLS 2066098 Evergreen Home Loans chamber page,https://kingstonchamber.com/directory-chamber/business/angela-clark-nmls-2066098-evergreen-home-loans/,2026-08-17,packet_ready_with_office_footprint_caveat,"Kingston chamber page lists an Evergreen Home Loans loan officer profile with phone and email contact.",Loan/mortgage texture for A.4 scoring with office-footprint caveat.,Not borrower identity credit wealth loan volume approval rate demand or service adequacy.
KSA4-009,kingston-wa,real_estate,Janel Delos Reyes real-estate site,https://www.janeldelosreyes.realtor/,2026-08-17,packet_ready_with_office_footprint_caveat,"Real-estate site describes home sales, luxury and new-construction properties, transitions, investment opportunities, and Kitsap County work.",Real-estate service texture for A.4 scoring with office-footprint caveat.,Not transaction volume price forecast customer identity demand quality or service adequacy.
KSA4-010,kingston-wa,real_estate,Janel Delos Reyes Real Estate LLC BBB profile,https://www.bbb.org/us/wa/kingston/profile/real-estate-agent/janel-delos-reyes-real-estate-llc-1296-1000168563,2026-08-17,packet_ready_with_office_footprint_caveat,"BBB profile places Janel Delos Reyes Real Estate LLC in Kingston WA 98346-9573 and categorizes it as real-estate agents.",Locality corroboration for real-estate texture; not a standalone quality claim.,Not accreditation quality transaction volume demand customer identity price forecast or service adequacy.
