target_id,label,movement_type,anchor_field,state,primary_city,min_lat,max_lat,min_lon,max_lon,selection_source,why_selected,first_sidecar_priority,claim_boundary
kingston-wa,Kingston WA,ferry_side_landing,ferry_side_town_provisioning_node,WA,Kingston,47.7900,47.8550,-122.5800,-122.4900,"Reused from A.2 pizza-delivery-sidecar-targets.csv derived from reviewed WA service coordinates.","Ferry-side landing/provisioning node with WSDOT route hint and observed Domino's pizza/carryout presence.","ferry_terminal; qsr_food; pizza_carryout; gas_convenience; auto_parts","Selection box only; not ferry catchment, municipal boundary, delivery area, drive-time catchment, or service adequacy."
bainbridge-island-wa,Bainbridge Island WA,ferry_side_landing,ferry_side_town_provisioning_node,WA,Bainbridge Island,47.6200,47.6600,-122.5800,-122.5000,"Reused from A.2 pizza-delivery-sidecar-targets.csv derived from reviewed WA service coordinates.","Ferry-side island control with WSDOT route hint and sparse QSR/pizza evidence.","ferry_terminal; qsr_food; pizza_carryout; grocery_pharmacy; gas_convenience","Selection box only; not ferry catchment, municipal boundary, delivery area, drive-time catchment, or service adequacy."
bremerton-wa,Bremerton WA,ferry_side_landing,west_sound_town_service_grid,WA,Bremerton,47.5100,47.6500,-122.7900,-122.6000,"Reused from A.2 pizza-delivery-sidecar-targets.csv derived from reviewed WA service coordinates.","Ferry-side city and separate metro control with dense QSR and pizza-service evidence.","ferry_terminal; qsr_food; pizza_carryout; gas_convenience; auto_parts","Selection box only; not ferry catchment, municipal boundary, delivery area, drive-time catchment, or service adequacy."
south-philly-sports-port,South Philadelphia Sports / Port field,port_event_industrial,event_port_auto_service_field,PA,Philadelphia,39.8900,39.9250,-75.2000,-75.1450,"Reused from fixtures/geography/ret-philadelphia-anchor-field-targets.csv.","Port/event/auto-service field in enclave family consolidation and car-trip stack comparison.","port_event_anchor; logistics_industrial; gas_convenience; qsr_food; auto_parts","Selection box only; not port authority boundary, freight flow, event attendance, trade area, or service adequacy."
long-beach-lakewood,Long Beach / Lakewood field,port_event_industrial,port_coastal_grid_mall_service_field,CA,Long Beach,33.7600,33.8650,-118.2200,-118.0700,"Reused from fixtures/geography/ret-los-angeles-anchor-field-targets.csv.","Port/coastal grid plus mall-service field with combined car-oriented enclave signal.","port_event_anchor; logistics_industrial; gas_convenience; qsr_food; auto_parts","Selection box only; not port authority boundary, freight flow, trade area, route choice, or service adequacy."
camp-creek,Camp Creek field,port_event_industrial,airport_edge_power_center,GA,Atlanta,33.6350,33.6750,-84.5350,-84.4900,"Reused from fixtures/geography/ret-atlanta-anchor-field-targets.csv.","Airport-edge power center from A.2/A.3 handoff; useful movement field without assuming airport catchment.","port_event_anchor; transit_center; gas_convenience; qsr_food; motel_lodging","Selection box only; not airport catchment, passenger flow, route choice, or service adequacy."
ford-city-cicero,Midway / Ford City field,port_event_industrial,southwest_airport_edge_field,IL,Chicago,41.7350,41.7800,-87.7700,-87.7200,"Reused from fixtures/geography/ret-chicago-anchor-field-targets.csv.","Airport-edge / mall / corridor control with combined car-oriented corridor signal.","transit_center; gas_convenience; qsr_food; auto_parts; motel_lodging","Selection box only; not airport catchment, route choice, passenger flow, or service adequacy."
arlington-grand-prairie-tx,Arlington / Grand Prairie field,highway_corridor_node,midcities_power_event_field,TX,Arlington,32.6900,32.7650,-97.1200,-97.0000,"Reused from A.2 pizza-delivery-sidecar-targets.csv and ret-dallas-anchor-field-targets.csv.","Strongest all-three dense car-trip grid with QSR, auto-parts, gas/convenience, and multi-brand pizza sidecar presence.","truck_stop; gas_convenience; qsr_food; pizza_carryout; auto_parts; motel_lodging","Selection box only; not route choice, trip purpose, drive-time catchment, demand, or service adequacy."
northeast-roosevelt,Northeast Philadelphia / Roosevelt Boulevard field,highway_corridor_node,inner_suburban_auto_corridor_field,PA,Philadelphia,40.0300,40.1000,-75.0800,-74.9800,"Reused from fixtures/geography/ret-philadelphia-anchor-field-targets.csv.","Older auto corridor with combined car-oriented retail enclave signal.","gas_convenience; qsr_food; auto_parts; motel_lodging; truck_stop","Selection box only; not route choice, trip purpose, drive-time catchment, demand, or service adequacy."
cherry-hill-moorestown,Cherry Hill / Moorestown field,highway_corridor_node,south_jersey_mall_edge_field,NJ,Cherry Hill,39.9100,39.9700,-75.0300,-74.9200,"Reused from fixtures/geography/ret-philadelphia-anchor-field-targets.csv.","South Jersey mall/auto corridor with combined car-oriented enclave evidence.","gas_convenience; qsr_food; auto_parts; motel_lodging; truck_stop","Selection box only; not route choice, trip purpose, drive-time catchment, demand, or service adequacy."
center-city-market-east,Center City / Market East field,depot_intermodal,dense_northeast_rail_civic_retail_field,PA,Philadelphia,39.9400,39.9650,-75.1800,-75.1450,"Reused from fixtures/geography/ret-philadelphia-anchor-field-targets.csv.","Dense rail/civic/everyday grid and depot/intermodal seed anchored by Market East and Suburban Station context.","transit_center; qsr_food; gas_convenience; civic_anchor; depot_intermodal","Selection box only; not commuter catchment, official station area, route choice, or service adequacy."
university-city-30th-street,University City / 30th Street field,depot_intermodal,eds_meds_rail_service_field,PA,Philadelphia,39.9400,39.9700,-75.2150,-75.1800,"Reused from fixtures/geography/ret-philadelphia-anchor-field-targets.csv.","Rail, university, hospital, and service field anchored by 30th Street Station context.","transit_center; qsr_food; gas_convenience; civic_anchor; depot_intermodal","Selection box only; not commuter catchment, official station area, route choice, or service adequacy."
loop-river-north,Loop / River North field,depot_intermodal,urban_core_mixed_service_field,IL,Chicago,41.8750,41.9000,-87.6500,-87.6200,"Reused from fixtures/geography/ret-chicago-anchor-field-targets.csv.","Urban civic/rail core and food-forward daily-trip field for depot/intermodal comparison.","transit_center; qsr_food; gas_convenience; civic_anchor; depot_intermodal","Selection box only; not commuter catchment, official station area, route choice, or service adequacy."
perimeter-wide,Perimeter widened field,depot_intermodal,edge_city_mall_field,GA,Atlanta,33.8950,33.9500,-84.3800,-84.2950,"Reused from fixtures/geography/ret-atlanta-anchor-field-targets.csv.","Edge-city mall field with observed MARTA station layer in the Atlanta transit summary.","transit_center; gas_convenience; qsr_food; mall_edge_context","Selection box only; not commuter catchment, official station area, route choice, or service adequacy."
