target_id,primary_city,pizza_delivery_status,candidate_rows,packet_ready_rows,excluded_rows,review_note
wa-min-postal-bingen,Bingen,checked_absent,11,0,11,"Completed OSM target-box pass returned no target-brand pizza delivery/carryout rows; non-target food rows, if any, are excluded."
wa-min-postal-buckley,Buckley,checked_absent,9,0,9,"Completed OSM target-box pass returned no target-brand pizza delivery/carryout rows; non-target food rows, if any, are excluded."
wa-min-postal-cashmere,Cashmere,checked_absent,13,0,13,"Completed OSM target-box pass returned no target-brand pizza delivery/carryout rows; non-target food rows, if any, are excluded."
wa-min-postal-cathlamet,Cathlamet,checked_absent,2,0,2,"Completed OSM target-box pass returned no target-brand pizza delivery/carryout rows; non-target food rows, if any, are excluded."
wa-min-postal-clallam-bay,Clallam Bay,checked_absent,1,0,1,"Completed OSM target-box pass returned no target-brand pizza delivery/carryout rows; non-target food rows, if any, are excluded."
wa-min-postal-clinton,Clinton,checked_absent,6,0,6,"Completed OSM target-box pass returned no target-brand pizza delivery/carryout rows; non-target food rows, if any, are excluded."
wa-min-postal-colfax,Colfax,checked_absent,6,0,6,"Completed OSM target-box pass returned no target-brand pizza delivery/carryout rows; non-target food rows, if any, are excluded."
wa-min-postal-connell,Connell,checked_absent,0,0,0,Completed targeted OSM retry returned zero target-brand pizza delivery/carryout candidate rows.
wa-min-postal-darrington,Darrington,checked_absent,2,0,2,"Completed OSM target-box pass returned no target-brand pizza delivery/carryout rows; non-target food rows, if any, are excluded."
wa-min-postal-dayton,Dayton,checked_absent,0,0,0,Completed targeted OSM retry returned zero target-brand pizza delivery/carryout candidate rows.
wa-min-postal-eastsound,Eastsound,checked_absent,11,0,11,"Completed OSM target-box pass returned no target-brand pizza delivery/carryout rows; non-target food rows, if any, are excluded."
wa-min-postal-eatonville,Eatonville,checked_absent,9,0,9,"Completed OSM target-box pass returned no target-brand pizza delivery/carryout rows; non-target food rows, if any, are excluded."
wa-min-postal-forks,Forks,checked_absent,0,0,0,Completed final targeted OSM retry returned zero target-brand pizza delivery/carryout candidate rows.
wa-min-postal-friday-harbor,Friday Harbor,checked_absent,17,0,17,"Completed OSM target-box pass returned no target-brand pizza delivery/carryout rows; non-target food rows, if any, are excluded."
wa-min-postal-kettle-falls,Kettle Falls,checked_absent,6,0,6,"Completed OSM target-box pass returned no target-brand pizza delivery/carryout rows; non-target food rows, if any, are excluded."
wa-min-postal-la-conner,La Conner,checked_absent,11,0,11,"Completed OSM target-box pass returned no target-brand pizza delivery/carryout rows; non-target food rows, if any, are excluded."
wa-min-postal-loon-lake,Loon Lake,checked_absent,2,0,2,"Completed OSM target-box pass returned no target-brand pizza delivery/carryout rows; non-target food rows, if any, are excluded."
wa-min-postal-lopez-island,Lopez Island,checked_absent,8,0,8,"Completed OSM target-box pass returned no target-brand pizza delivery/carryout rows; non-target food rows, if any, are excluded."
wa-min-postal-mattawa,Mattawa,checked_absent,0,0,0,Completed targeted OSM retry returned zero target-brand pizza delivery/carryout candidate rows.
wa-min-postal-mesa,Mesa,checked_absent,0,0,0,Completed targeted OSM retry returned zero target-brand pizza delivery/carryout candidate rows.
