"region","field_id","label","anchor_field","base_service_quarter_class","lan_texture_class","finance_signal","tax_prep_signal","insurance_signal","real_estate_fetch_status","real_estate_packet_ready_rows","real_estate_excluded_rows","real_estate_pilot_signal","real_estate_texture_class","next_real_estate_priority","synthesis_note","claim_boundary"
"washington","kitsap-mall","Kitsap Mall / Silverdale field","kitsap_regional_mall_field","confirmed_service_quarter_finance_observed","service_quarter_structured_lan_checked_absent","observed","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","fetched","3","0","observed_real_estate_texture","service_quarter_with_observed_real_estate_texture","real_estate_texture_observed","Structured office=estate_agent rows add observed real-estate office texture.","Structured real-estate office footprint only; mortgage/leasing-only exclusions preserved; not housing price, wealth, buyer/renter identity, demand, catchment, protected traits, or individual behavior."
"chicago","ford-city-cicero","Midway / Ford City field","southwest_airport_edge_field","confirmed_service_quarter_finance_observed","service_quarter_structured_lan_checked_absent","observed","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","fetched","1","0","observed_real_estate_texture","service_quarter_with_observed_real_estate_texture","real_estate_texture_observed","Structured office=estate_agent rows add observed real-estate office texture.","Structured real-estate office footprint only; mortgage/leasing-only exclusions preserved; not housing price, wealth, buyer/renter identity, demand, catchment, protected traits, or individual behavior."
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","confirmed_service_quarter_finance_dense","service_quarter_with_dense_legal_accounting_texture","observed_dense","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","fetched","5","2","observed_real_estate_texture","service_quarter_with_observed_real_estate_texture","real_estate_texture_observed","Structured office=estate_agent rows add observed real-estate office texture.","Structured real-estate office footprint only; mortgage/leasing-only exclusions preserved; not housing price, wealth, buyer/renter identity, demand, catchment, protected traits, or individual behavior."
"dallas","arlington-grand-prairie","Arlington / Grand Prairie field","midcities_power_event_field","confirmed_service_quarter_finance_observed","service_quarter_with_observed_legal_accounting_texture","observed","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","fetched","1","0","observed_real_estate_texture","service_quarter_with_observed_real_estate_texture","real_estate_texture_observed","Structured office=estate_agent rows add observed real-estate office texture.","Structured real-estate office footprint only; mortgage/leasing-only exclusions preserved; not housing price, wealth, buyer/renter identity, demand, catchment, protected traits, or individual behavior."
"los_angeles","downtown-koreatown-midwilshire","Downtown LA / Koreatown / Mid-Wilshire field","urban_core_mixed_service_field","confirmed_service_quarter_finance_dense","service_quarter_with_dense_legal_accounting_texture","observed_dense","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","fetched","7","0","observed_real_estate_texture","service_quarter_with_observed_real_estate_texture","real_estate_texture_observed","Structured office=estate_agent rows add observed real-estate office texture.","Structured real-estate office footprint only; mortgage/leasing-only exclusions preserved; not housing price, wealth, buyer/renter identity, demand, catchment, protected traits, or individual behavior."
"los_angeles","long-beach-lakewood","Long Beach / Lakewood field","port_coastal_grid_mall_service_field","confirmed_service_quarter_finance_dense","service_quarter_with_observed_legal_accounting_texture","observed_dense","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","tiled_retry_promoted","16","2","observed_real_estate_texture","service_quarter_with_observed_real_estate_texture","real_estate_tile_retry_optional","Tiled retry adds observed real-estate office texture; one tile remains source-gated, so count is conservative.","Structured real-estate office footprint only; mortgage/leasing-only exclusions preserved; not housing price, wealth, buyer/renter identity, demand, catchment, protected traits, or individual behavior."
"los_angeles","ontario-rancho-cucamonga","Ontario Mills / Rancho Cucamonga field","inland_freeway_power_center_field","confirmed_service_quarter_finance_observed","service_quarter_with_observed_legal_accounting_texture","observed","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","fetched","7","1","observed_real_estate_texture","service_quarter_with_observed_real_estate_texture","real_estate_texture_observed","Structured office=estate_agent rows add observed real-estate office texture.","Structured real-estate office footprint only; mortgage/leasing-only exclusions preserved; not housing price, wealth, buyer/renter identity, demand, catchment, protected traits, or individual behavior."
"los_angeles","riverside-tyler-corona","Riverside / Tyler / Corona edge field","inland_secondary_core_growth_field","confirmed_service_quarter_finance_observed","service_quarter_with_observed_legal_accounting_texture","observed","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","fetched","4","2","observed_real_estate_texture","service_quarter_with_observed_real_estate_texture","real_estate_texture_observed","Structured office=estate_agent rows add observed real-estate office texture.","Structured real-estate office footprint only; mortgage/leasing-only exclusions preserved; not housing price, wealth, buyer/renter identity, demand, catchment, protected traits, or individual behavior."
"los_angeles","south-bay-torrance","South Bay / Torrance field","coastal_suburban_mall_auto_service_field","confirmed_service_quarter_finance_dense","service_quarter_with_observed_legal_accounting_texture","observed_dense","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","fetched","13","5","observed_real_estate_texture","service_quarter_with_observed_real_estate_texture","real_estate_texture_observed","Structured office=estate_agent rows add observed real-estate office texture.","Structured real-estate office footprint only; mortgage/leasing-only exclusions preserved; not housing price, wealth, buyer/renter identity, demand, catchment, protected traits, or individual behavior."
"los_angeles","west-la-century-city-culver","West LA / Century City / Culver City field","affluent_office_retail_service_field","confirmed_service_quarter_finance_dense","service_quarter_with_dense_legal_accounting_texture","observed_dense","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","fetched","14","0","observed_real_estate_texture","service_quarter_with_observed_real_estate_texture","real_estate_texture_observed","Structured office=estate_agent rows add observed real-estate office texture.","Structured real-estate office footprint only; mortgage/leasing-only exclusions preserved; not housing price, wealth, buyer/renter identity, demand, catchment, protected traits, or individual behavior."
"philadelphia","cherry-hill-moorestown","Cherry Hill / Moorestown field","south_jersey_mall_edge_field","confirmed_service_quarter_finance_dense","service_quarter_with_observed_legal_accounting_texture","observed_dense","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","fetched","6","0","observed_real_estate_texture","service_quarter_with_observed_real_estate_texture","real_estate_texture_observed","Structured office=estate_agent rows add observed real-estate office texture.","Structured real-estate office footprint only; mortgage/leasing-only exclusions preserved; not housing price, wealth, buyer/renter identity, demand, catchment, protected traits, or individual behavior."
"philadelphia","northeast-roosevelt","Northeast Philadelphia / Roosevelt Boulevard field","inner_suburban_auto_corridor_field","confirmed_service_quarter_finance_dense","service_quarter_with_observed_legal_accounting_texture","observed_dense","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","fetched","0","0","checked_absent_structured_real_estate","service_quarter_structured_real_estate_checked_absent","real_estate_regex_or_alternate_source_optional","Structured office=estate_agent query returned no rows; this is not a broad real-estate service absence claim.","Structured real-estate office footprint only; mortgage/leasing-only exclusions preserved; not housing price, wealth, buyer/renter identity, demand, catchment, protected traits, or individual behavior."
