region,field_id,label,anchor_field,profile_basis,dimensions,observed_layers,source_gated_layers,checked_absent_layers,observed_rate,source_gated_rate,type_discovery_label,readiness_tier,source_quality_note,comparison_tier
washington,bellevue-core,Bellevue core mall field,"",full_11_dimension_context,11,8,0,3,0.727,0.0,downtown_civic_finance_wellness_grid,high_context_resolution,zero_source_gates,baseline_comparable
washington,factoria,Bellevue Factoria field,"",full_11_dimension_context,11,4,0,7,0.364,0.0,postal_car_trip_open_space_service_field,thin_context_resolution,zero_source_gates,baseline_comparable
washington,southcenter-tukwila,Southcenter / Tukwila mall field,"",full_11_dimension_context,11,8,0,3,0.727,0.0,mall_civic_car_trip_small_trade_field,high_context_resolution,zero_source_gates,baseline_comparable
washington,tacoma-mall,Tacoma Mall field,"",full_11_dimension_context,11,6,0,5,0.545,0.0,mall_car_trip_small_trade_household_field,moderate_context_resolution,zero_source_gates,baseline_comparable
washington,kitsap-mall,Kitsap Mall / Silverdale field,"",full_11_dimension_context,11,9,0,2,0.818,0.0,civic_finance_car_trip_mall_field,high_context_resolution,zero_source_gates,baseline_comparable
washington,south-hill-puyallup,South Hill / Puyallup field,"",full_11_dimension_context,11,8,0,3,0.727,0.0,car_trip_finance_household_edge_field,high_context_resolution,zero_source_gates,baseline_comparable
atlanta,cumberland-vinings,Cumberland / Vinings field,suburban_mall_edge,full_11_dimension_context,11,4,6,1,0.364,0.545,finance_household_wellness_service_field,partial_profile_field,usable_for_type_discovery_not_final_ranking,type_discovery_partial
atlanta,buckhead-lenox-phipps,Buckhead / Lenox / Phipps field,urban_luxury_mall_cluster,full_11_dimension_context,11,6,5,0,0.545,0.455,civic_open_space_small_trade_mall_field,partial_profile_field,usable_for_type_discovery_not_final_ranking,type_discovery_partial
atlanta,perimeter-wide,Perimeter widened field,edge_city_mall_field,full_11_dimension_context,11,3,7,1,0.273,0.636,transit_health_edge_city_field,partial_profile_field,usable_for_type_discovery_not_final_ranking,type_discovery_partial
atlanta,camp-creek,Camp Creek field,airport_edge_power_center,full_11_dimension_context,11,1,9,1,0.091,0.818,wellness_only_partial_context_field,source_limited_field,retry_or_alternate_source_before_ranking,source_limited
atlanta,northlake,Northlake field,legacy_suburban_mall_node,full_11_dimension_context,11,1,10,0,0.091,0.909,health_only_partial_context_field,source_limited_field,retry_or_alternate_source_before_ranking,source_limited
atlanta,north-point-wide,North Point / Alpharetta widened field,edge_city_mall_field,full_11_dimension_context,11,4,6,1,0.364,0.545,open_space_health_wellness_edge_city_field,partial_profile_field,usable_for_type_discovery_not_final_ranking,type_discovery_partial
atlanta,decatur-emory,Decatur / Emory field,inner_service_village,full_11_dimension_context,11,4,7,0,0.364,0.636,finance_car_trip_health_service_village,partial_profile_field,usable_for_type_discovery_not_final_ranking,type_discovery_partial
chicago,loop-river-north,Loop / River North field,urban_core_mixed_service_field,pre_scale_6_layer_stack,6,3,2,1,0.5,0.333,urban_core_everyday_grid,usable_for_type_discovery_retry_osm_before_ranking,usable_for_type_discovery_retry_osm_before_ranking,type_discovery_comparable
chicago,lincoln-park-lakeview,Lincoln Park / Lakeview field,inner_neighborhood_service_field,pre_scale_6_layer_stack,6,3,2,1,0.5,0.333,inner_neighborhood_everyday_grid,usable_for_type_discovery_retry_osm_before_ranking,usable_for_type_discovery_retry_osm_before_ranking,type_discovery_comparable
chicago,old-orchard-skokie,Old Orchard / Skokie field,north_suburban_mall_field,pre_scale_6_layer_stack,6,2,2,2,0.333,0.333,confirmed_single_grocery_mall_field,source_limited_retry_or_alternate_source,source_limited_retry_or_alternate_source,type_discovery_partial
chicago,oakbrook-wide,Oakbrook widened field,west_suburban_edge_city_field,pre_scale_6_layer_stack,6,4,1,1,0.667,0.167,confirmed_postal_big_box_edge_field,usable_for_type_discovery,usable_for_type_discovery,type_discovery_comparable
chicago,woodfield-schaumburg,Woodfield / Schaumburg field,northwest_edge_city_mall_field,pre_scale_6_layer_stack,6,3,2,1,0.5,0.333,confirmed_edge_city_mall_grocery_field,usable_for_type_discovery_retry_osm_before_ranking,usable_for_type_discovery_retry_osm_before_ranking,type_discovery_comparable
chicago,ford-city-cicero,Midway / Ford City field,southwest_airport_edge_field,pre_scale_6_layer_stack,6,3,2,1,0.5,0.333,confirmed_mall_big_box_grocery_field,usable_for_type_discovery_retry_osm_before_ranking,usable_for_type_discovery_retry_osm_before_ranking,type_discovery_comparable
chicago,orland-square,Orland Square field,south_suburban_mall_field,pre_scale_6_layer_stack,6,2,2,2,0.333,0.333,confirmed_grocery_supported_mall_field,source_limited_retry_or_alternate_source,source_limited_retry_or_alternate_source,type_discovery_partial
