target_id,primary_city,truth_dossier_status,truth_dossier_stage,truth_dossier_decision,claim_upgrade_status,required_next_evidence,claim_boundary,next_action
national-post-office-ri-clayville-f1ff22f00c,Clayville,postal_anchor_operations_status_gated_exclusion,candidate_truth_dossier_reviewed,exclude_from_clean_denominator_and_numerator,block_target_box_exemplar_language,Recheck USPS operations status or an equivalent official postal source before any denominator repair; keep nearby North Scituate services in the dossier narrative.,Clayville is currently excluded by postal operations-status gate; this does not prove broader service absence catchment isolation regional frequency or national frequency.,Keep Clayville out of the clean denominator and numerator until the temporary-operations gate is resolved.
national-post-office-sd-artesian-a7016c8d34,Artesian,strict_target_box_survivor_with_nearby_service_constraint,candidate_truth_dossier_reviewed,keep_as_strict_target_box_survivor,allow_target_box_exemplar_only,Carry Sinclair/Country Pumper as outside-box nearby-service context in any narrative; do not use Artesian as catchment-isolation evidence.,Artesian is a strict sampled target-box survivor only; this does not prove broader service absence catchment isolation regional frequency or national frequency.,Keep Artesian in the numerator-eligible bounded sample and allow target-box exemplar language only with the nearby-service constraint attached.
national-post-office-wv-alum-bridge-cac27a2707,Alum Bridge,strict_target_box_survivor_with_nearby_service_constraint,candidate_truth_dossier_reviewed,keep_as_strict_target_box_survivor,allow_target_box_exemplar_only,Carry Somerville Exxon & Grocery in nearby Linn as outside-box nearby-service context in every narrative use; do not use Alum Bridge as catchment-isolation evidence.,Alum Bridge is a strict sampled target-box survivor with nearby-service context only; this does not prove complete service absence catchment isolation regional frequency or national frequency.,Keep Alum Bridge in the numerator-eligible bounded sample and allow target-box language only with the nearby-service constraint attached.
national-post-office-wy-carpenter-wy-f9563226fe,Carpenter WY,strict_target_box_survivor_with_nearby_service_constraint,candidate_truth_dossier_reviewed,keep_as_strict_target_box_survivor,allow_target_box_exemplar_only,Carry Antelope Truck Stop and TA Cheyenne as outside-box nearby-service context in any narrative; do not use Carpenter as catchment-isolation evidence.,Carpenter is a strict sampled target-box survivor only; this does not prove complete service absence catchment isolation regional frequency or national frequency.,Keep Carpenter in the numerator-eligible bounded sample and allow target-box exemplar language only with the nearby-service constraint attached.
national-post-office-nm-amistad-85362cd08e,Amistad,strict_target_box_survivor_with_nearby_trade_service_constraint,candidate_truth_dossier_reviewed,keep_as_strict_target_box_survivor,allow_target_box_exemplar_only,Carry McDaniel Water and Amistad Land and Cattle as outside-box trade-service context in any narrative; do not use Amistad as catchment-isolation evidence.,Amistad is a strict sampled target-box survivor only; this does not prove complete service absence catchment isolation regional frequency or national frequency.,Keep Amistad in the numerator-eligible bounded sample and allow target-box exemplar language only with the nearby trade-service constraint attached.
national-post-office-ms-union-church-ea072f6994,Union Church,strict_target_box_survivor_with_nearby_service_constraint,candidate_truth_dossier_reviewed,keep_as_strict_target_box_survivor,allow_target_box_exemplar_only,Carry Pleasant Hill Grocery as outside-box nearby-service context in any narrative; do not use Union Church as catchment-isolation evidence.,Union Church is a strict sampled target-box survivor only; this does not prove complete service absence catchment isolation regional frequency or national frequency.,Keep Union Church in the numerator-eligible bounded sample and allow target-box exemplar language only with the nearby-service constraint attached.
national-post-office-ms-valley-park-c02f8044f8,Valley Park,strict_target_box_survivor_with_outside_service_constraint,candidate_truth_dossier_reviewed,keep_as_strict_target_box_survivor,allow_target_box_exemplar_only,Carry the resolved Vicksburg Circle K/Fast Lane source as outside-box service context in any narrative; do not use Valley Park as catchment-isolation evidence.,Valley Park is a strict sampled target-box survivor only; this does not prove complete service absence catchment isolation regional frequency or national frequency.,Keep Valley Park in the numerator-eligible bounded sample and allow target-box exemplar language only with the outside-box service constraint attached.
national-post-office-ak-clam-gulch-e69b030ff3,Clam Gulch,strict_target_box_survivor_with_nearby_service_constraint,candidate_truth_dossier_reviewed,keep_as_strict_target_box_survivor,allow_target_box_exemplar_only,Carry Kasilof/Soldotna/Ninilchik services and inside-box lodging as context; do not use Clam Gulch as catchment-isolation evidence.,Clam Gulch is a strict sampled target-box survivor only; this does not prove complete service absence catchment isolation regional frequency or national frequency.,Keep Clam Gulch in the numerator-eligible bounded sample and allow target-box exemplar language only with the nearby-service constraint attached.
national-post-office-tx-aquilla-d120437058,Aquilla,strict_target_box_survivor_with_nearby_service_constraint,candidate_truth_dossier_reviewed,keep_as_strict_target_box_survivor,allow_target_box_exemplar_only,Carry West Abbott Whitney and Hillsboro services as nearby-service context; do not use Aquilla as catchment-isolation evidence.,Aquilla is a strict sampled target-box survivor only; this does not prove complete service absence catchment isolation regional frequency or national frequency.,Keep Aquilla in the numerator-eligible bounded sample and allow target-box exemplar language only with the nearby-service constraint attached.
national-post-office-tx-mountain-home-040d568fdd,Mountain Home,strict_target_box_survivor_with_nearby_service_constraint,candidate_truth_dossier_reviewed,keep_as_strict_target_box_survivor,allow_target_box_exemplar_only,Carry Garven Store / The Divide as outside-box nearby-service context; do not use Mountain Home as catchment-isolation evidence.,Mountain Home is a strict sampled target-box survivor only; this does not prove complete service absence catchment isolation regional frequency or national frequency.,Keep Mountain Home in the numerator-eligible bounded sample and allow target-box exemplar language only with the nearby-service constraint attached.
