region,area_id,label,geography_scope,local_context,total_stores,retail_complexes,has_mall_complex,home_improvement_brands,auto_parts_brands,grocery_brands,mass_retail_brands,drugstore_brands,qsr_brands,nearest_spacing_miles,source_modifier,anchor_modifier_v0,anchor_evidence_summary
north_seattle_south_snohomish,aurora-north-seattle,Aurora / North Seattle,reviewed_zone,retail_corridor,9,0,0,2,3,1,0,0,2,0.47,no_complex_signal,no_complex_signal,no reviewed mall signal in current checked layers
north_seattle_south_snohomish,northgate-lake-city,Northgate / Lake City,reviewed_zone,neighborhood_grocery_service_grid,11,1,1,0,1,4,1,0,4,0.4,legacy_mall_service_grid,legacy_mall_service_grid,mall-shaped geography with service-weighted current stack
north_seattle_south_snohomish,shoreline,Shoreline,reviewed_zone,mixed_edge_node,14,0,0,1,2,4,1,1,1,0.08,no_complex_signal,no_complex_signal,no reviewed mall signal in current checked layers
north_seattle_south_snohomish,edmonds,Edmonds,reviewed_zone,ferry_town_service_edge,8,2,0,0,1,1,0,0,3,0.07,small_complex_service_edge,small_complex_service_edge,retail-complex signal modifies local service profile
north_seattle_south_snohomish,mountlake-terrace,Mountlake Terrace,reviewed_zone,mixed_edge_node,7,3,0,0,1,3,0,0,0,0.07,small_complex_service_edge,small_complex_service_edge,retail-complex signal modifies local service profile
north_seattle_south_snohomish,lynnwood-alderwood,Lynnwood / Alderwood,reviewed_zone,regional_anchor_absorber,36,4,1,2,4,6,3,1,3,0.05,active_regional_mall_anchor,active_regional_mall_anchor,regional anchor evidence includes repeated auto-parts depth
north_seattle_south_snohomish,bothell,Bothell,reviewed_zone,partial_anchor_service_node,14,1,0,1,1,3,0,1,3,0.15,complex_service_modifier,complex_service_modifier,retail-complex signal modifies local service profile
north_seattle_south_snohomish,kenmore,Kenmore,reviewed_zone,mixed_edge_node,4,0,0,0,1,2,0,0,1,0.54,no_complex_signal,no_complex_signal,no reviewed mall signal in current checked layers
north_seattle_south_snohomish,mill-creek,Mill Creek,reviewed_zone,mixed_edge_node,6,0,0,1,2,1,0,0,1,0.75,no_complex_signal,no_complex_signal,no reviewed mall signal in current checked layers
north_seattle_south_snohomish,everett,Everett,reviewed_zone,regional_anchor_node,50,4,1,2,4,5,3,2,4,0.05,active_regional_mall_anchor,active_regional_mall_anchor,regional anchor evidence includes repeated auto-parts depth
atlanta_districts,cumberland-vinings,Cumberland / Vinings,district_core,suburban_mall_edge,13,2,1,1,0,2,2,0,4,0.08,urban_mall_service_grid,urban_mall_service_grid,urban mall district supported by service-category depth
atlanta_districts,buckhead-lenox-phipps,Buckhead / Lenox / Phipps,district_core,urban_luxury_mall_cluster,12,3,1,0,0,4,1,1,1,0.11,urban_mall_grocery_grid,urban_mall_grocery_grid,urban mall district supported by service-category depth
atlanta_districts,perimeter,Perimeter,district_core,edge_city_mall_cluster,11,1,1,1,0,2,2,1,2,0.66,mall_anchor_needs_category_depth,mall_anchor_needs_category_depth,mall signal present but category or geometry evidence remains thin
atlanta_districts,perimeter,Perimeter widened,district_wide,edge_city_mall_field,25,1,1,2,1,4,2,2,4,,urban_mall_service_grid,edge_city_mall_service_grid,widened edge-city mall field with single auto-parts depth
atlanta_districts,camp-creek,Camp Creek,district_core,airport_edge_power_center,7,1,0,1,0,1,1,0,3,0.13,capacity_profile_mixed,capacity_profile_mixed,retail-complex signal modifies local service profile
atlanta_districts,northlake,Northlake,district_core,legacy_suburban_mall_node,8,1,1,0,0,4,1,1,0,0.22,legacy_mall_grocery_service_grid,legacy_mall_grocery_service_grid,mall-shaped geography with service-weighted current stack
atlanta_districts,north-point-alpharetta,North Point / Alpharetta,district_core,north_suburban_mall_node,4,1,1,0,0,0,1,0,2,1.32,mall_anchor_needs_category_depth,mall_anchor_needs_category_depth,mall signal present but category or geometry evidence remains thin
atlanta_districts,north-point-alpharetta,North Point widened,district_wide,edge_city_mall_field,21,1,1,2,1,2,3,1,4,,urban_mall_service_grid,edge_city_mall_service_grid,widened edge-city mall field with single auto-parts depth
atlanta_districts,decatur-emory,Decatur / Emory,district_core,inner_service_village,9,1,0,0,0,4,1,1,1,0.21,capacity_profile_mixed,capacity_profile_mixed,retail-complex signal modifies local service profile
