"region","field_id","label","finance_layer","tax_prep_layer","insurance_layer","lan_layer","real_estate_layer","loan_mortgage_layer","source_gate_caveat","service_quarter_texture_class","synthesis_role","synthesis_note","claim_boundary"
"washington","kitsap-mall","Kitsap Mall / Silverdale field","observed","observed","dense","checked_absent","observed","checked_absent","none","base_service_quarter_with_real_estate_only_extension","service_quarter_control_or_light_texture","Finance, tax prep, insurance, and real-estate layers are observed; LAN and loan/mortgage profiles are checked absent only.","A.4 synthesis is public-footprint evidence only. It supports service-quarter terrain classification by functional analogy; it does not infer income, wealth, credit, demand, customer identity, protected traits, catchment, transaction volume, professional quality, or individual behavior."
"chicago","ford-city-cicero","Midway / Ford City field","observed","observed","dense","checked_absent","observed","checked_absent","none","base_service_quarter_with_real_estate_only_extension","service_quarter_control_or_light_texture","Finance, tax prep, insurance, and real-estate layers are observed; LAN and loan/mortgage profiles are checked absent only.","A.4 synthesis is public-footprint evidence only. It supports service-quarter terrain classification by functional analogy; it does not infer income, wealth, credit, demand, customer identity, protected traits, catchment, transaction volume, professional quality, or individual behavior."
"chicago","loop-river-north","Loop / River North field","dense","observed","dense","dense","observed","checked_absent","none","professional_service_quarter_with_loan_mortgage_profile_gap","depth_ready_paperwork_professional_core_profile_gap","Finance, tax prep, insurance, LAN, and real-estate layers are observed; bounded loan/mortgage regex is checked absent only.","A.4 synthesis is public-footprint evidence only. It supports service-quarter terrain classification by functional analogy; it does not infer income, wealth, credit, demand, customer identity, protected traits, catchment, transaction volume, professional quality, or individual behavior."
"dallas","arlington-grand-prairie","Arlington / Grand Prairie field","observed","observed","dense","observed","observed","observed","none","full_professional_service_quarter_texture","depth_ready_current_service_enclave","Finance, tax prep, insurance, LAN, real-estate, and loan/mortgage layers are all observed in bounded public-footprint evidence.","A.4 synthesis is public-footprint evidence only. It supports service-quarter terrain classification by functional analogy; it does not infer income, wealth, credit, demand, customer identity, protected traits, catchment, transaction volume, professional quality, or individual behavior."
"los_angeles","downtown-koreatown-midwilshire","Downtown LA / Koreatown / Mid-Wilshire field","dense","observed","dense","dense","observed","observed","loan_mortgage_tile_retry_optional","full_professional_service_quarter_texture_with_tile_caveat","depth_ready_current_service_enclave_with_optional_tile_closeout","All layers are observed, but one loan/mortgage retry tile remains source-gated; use as observed with caveat.","A.4 synthesis is public-footprint evidence only. It supports service-quarter terrain classification by functional analogy; it does not infer income, wealth, credit, demand, customer identity, protected traits, catchment, transaction volume, professional quality, or individual behavior."
"los_angeles","long-beach-lakewood","Long Beach / Lakewood field","dense","observed","dense","observed","observed","observed","none","full_professional_service_quarter_texture","depth_ready_current_service_enclave","Finance, tax prep, insurance, LAN, real-estate, and loan/mortgage layers are all observed in bounded public-footprint evidence.","A.4 synthesis is public-footprint evidence only. It supports service-quarter terrain classification by functional analogy; it does not infer income, wealth, credit, demand, customer identity, protected traits, catchment, transaction volume, professional quality, or individual behavior."
"los_angeles","ontario-rancho-cucamonga","Ontario Mills / Rancho Cucamonga field","observed","observed","dense","observed","observed","observed","none","full_professional_service_quarter_texture","depth_ready_current_service_enclave","Finance, tax prep, insurance, LAN, real-estate, and loan/mortgage layers are all observed in bounded public-footprint evidence.","A.4 synthesis is public-footprint evidence only. It supports service-quarter terrain classification by functional analogy; it does not infer income, wealth, credit, demand, customer identity, protected traits, catchment, transaction volume, professional quality, or individual behavior."
"los_angeles","riverside-tyler-corona","Riverside / Tyler / Corona edge field","observed","observed","dense","observed","observed","observed","none","full_professional_service_quarter_texture","depth_ready_current_service_enclave","Finance, tax prep, insurance, LAN, real-estate, and loan/mortgage layers are all observed in bounded public-footprint evidence.","A.4 synthesis is public-footprint evidence only. It supports service-quarter terrain classification by functional analogy; it does not infer income, wealth, credit, demand, customer identity, protected traits, catchment, transaction volume, professional quality, or individual behavior."
"los_angeles","south-bay-torrance","South Bay / Torrance field","dense","observed","dense","observed","observed","observed","none","full_professional_service_quarter_texture","depth_ready_current_service_enclave","Finance, tax prep, insurance, LAN, real-estate, and loan/mortgage layers are all observed in bounded public-footprint evidence.","A.4 synthesis is public-footprint evidence only. It supports service-quarter terrain classification by functional analogy; it does not infer income, wealth, credit, demand, customer identity, protected traits, catchment, transaction volume, professional quality, or individual behavior."
"los_angeles","west-la-century-city-culver","West LA / Century City / Culver City field","dense","observed","dense","dense","observed","checked_absent","none","professional_service_quarter_with_loan_mortgage_profile_gap","depth_ready_paperwork_professional_core_profile_gap","Finance, tax prep, insurance, LAN, and real-estate layers are observed; bounded loan/mortgage regex is checked absent only.","A.4 synthesis is public-footprint evidence only. It supports service-quarter terrain classification by functional analogy; it does not infer income, wealth, credit, demand, customer identity, protected traits, catchment, transaction volume, professional quality, or individual behavior."
