"region","field_id","label","anchor_field","fetch_status","raw_row_count","packet_ready_rows","excluded_rows","loan_mortgage_rows","pilot_signal","query_profile","claim_boundary"
"washington","kitsap-mall","Kitsap Mall / Silverdale field","kitsap_regional_mall_field","fetched","0","0","0","0","checked_absent_loan_mortgage_regex","name_operator_brand_loan_mortgage_pilot","Name/operator/brand regex loan-mortgage footprint only; bank branches, ATMs, payday/check-cashing, and real-estate-only rows excluded; not credit quality, approval, income, risk, demand, catchment, or behavior."
"chicago","ford-city-cicero","Midway / Ford City field","southwest_airport_edge_field","fetched","0","0","0","0","checked_absent_loan_mortgage_regex","name_operator_brand_loan_mortgage_pilot","Name/operator/brand regex loan-mortgage footprint only; bank branches, ATMs, payday/check-cashing, and real-estate-only rows excluded; not credit quality, approval, income, risk, demand, catchment, or behavior."
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","fetched","0","0","0","0","checked_absent_loan_mortgage_regex","name_operator_brand_loan_mortgage_pilot","Name/operator/brand regex loan-mortgage footprint only; bank branches, ATMs, payday/check-cashing, and real-estate-only rows excluded; not credit quality, approval, income, risk, demand, catchment, or behavior."
"dallas","arlington-grand-prairie","Arlington / Grand Prairie field","midcities_power_event_field","fetched","1","1","0","1","observed_loan_mortgage_texture","name_operator_brand_loan_mortgage_pilot","Name/operator/brand regex loan-mortgage footprint only; bank branches, ATMs, payday/check-cashing, and real-estate-only rows excluded; not credit quality, approval, income, risk, demand, catchment, or behavior."
"los_angeles","downtown-koreatown-midwilshire","Downtown LA / Koreatown / Mid-Wilshire field","urban_core_mixed_service_field","source_gated_error","0","0","0","0","source_gated","name_operator_brand_loan_mortgage_pilot","Name/operator/brand regex loan-mortgage footprint only; bank branches, ATMs, payday/check-cashing, and real-estate-only rows excluded; not credit quality, approval, income, risk, demand, catchment, or behavior."
"los_angeles","long-beach-lakewood","Long Beach / Lakewood field","port_coastal_grid_mall_service_field","source_gated_error","0","0","0","0","source_gated","name_operator_brand_loan_mortgage_pilot","Name/operator/brand regex loan-mortgage footprint only; bank branches, ATMs, payday/check-cashing, and real-estate-only rows excluded; not credit quality, approval, income, risk, demand, catchment, or behavior."
"los_angeles","ontario-rancho-cucamonga","Ontario Mills / Rancho Cucamonga field","inland_freeway_power_center_field","fetched","4","3","1","3","observed_loan_mortgage_texture","name_operator_brand_loan_mortgage_pilot","Name/operator/brand regex loan-mortgage footprint only; bank branches, ATMs, payday/check-cashing, and real-estate-only rows excluded; not credit quality, approval, income, risk, demand, catchment, or behavior."
"los_angeles","riverside-tyler-corona","Riverside / Tyler / Corona edge field","inland_secondary_core_growth_field","fetched","4","4","0","4","observed_loan_mortgage_texture","name_operator_brand_loan_mortgage_pilot","Name/operator/brand regex loan-mortgage footprint only; bank branches, ATMs, payday/check-cashing, and real-estate-only rows excluded; not credit quality, approval, income, risk, demand, catchment, or behavior."
"los_angeles","south-bay-torrance","South Bay / Torrance field","coastal_suburban_mall_auto_service_field","source_gated_error","0","0","0","0","source_gated","name_operator_brand_loan_mortgage_pilot","Name/operator/brand regex loan-mortgage footprint only; bank branches, ATMs, payday/check-cashing, and real-estate-only rows excluded; not credit quality, approval, income, risk, demand, catchment, or behavior."
"los_angeles","west-la-century-city-culver","West LA / Century City / Culver City field","affluent_office_retail_service_field","fetched","1","0","1","0","checked_absent_loan_mortgage_regex","name_operator_brand_loan_mortgage_pilot","Name/operator/brand regex loan-mortgage footprint only; bank branches, ATMs, payday/check-cashing, and real-estate-only rows excluded; not credit quality, approval, income, risk, demand, catchment, or behavior."
"philadelphia","cherry-hill-moorestown","Cherry Hill / Moorestown field","south_jersey_mall_edge_field","source_gated_error","0","0","0","0","source_gated","name_operator_brand_loan_mortgage_pilot","Name/operator/brand regex loan-mortgage footprint only; bank branches, ATMs, payday/check-cashing, and real-estate-only rows excluded; not credit quality, approval, income, risk, demand, catchment, or behavior."
"philadelphia","northeast-roosevelt","Northeast Philadelphia / Roosevelt Boulevard field","inner_suburban_auto_corridor_field","fetched","2","2","0","2","observed_loan_mortgage_texture","name_operator_brand_loan_mortgage_pilot","Name/operator/brand regex loan-mortgage footprint only; bank branches, ATMs, payday/check-cashing, and real-estate-only rows excluded; not credit quality, approval, income, risk, demand, catchment, or behavior."
