region,field_id,label,anchor_field,tax_prep_rows,tax_prep_brands,tax_prep_signal,insurance_rows,insurance_brands,insurance_signal,professional_services_signal
washington,bellevue-core,Bellevue core mall field,eastside_urban_mall_field,2,1,tax_prep_service_node,8,4,dense_multi_brand_insurance_service_grid,insurance_broad_tax_prep_light
washington,factoria,Bellevue Factoria field,eastside_power_center_mall_edge,1,1,single_tax_prep_anchor,3,2,insurance_service_node,light_professional_services_node
washington,kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,4,3,multi_brand_tax_prep_service_grid,17,5,dense_multi_brand_insurance_service_grid,confirmed_professional_services_grid
washington,south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,3,2,tax_prep_service_node,5,4,multi_brand_insurance_service_grid,light_professional_services_node
washington,southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,1,1,single_tax_prep_anchor,7,3,multi_brand_insurance_service_grid,light_professional_services_node
washington,tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,1,1,single_tax_prep_anchor,3,3,insurance_service_node,light_professional_services_node
atlanta,buckhead-lenox-phipps,Buckhead / Lenox / Phipps field,urban_luxury_mall_cluster,2,1,tax_prep_service_node,18,5,dense_multi_brand_insurance_service_grid,insurance_broad_tax_prep_light
atlanta,camp-creek,Camp Creek field,airport_edge_power_center,1,1,single_tax_prep_anchor,2,1,insurance_service_node,light_professional_services_node
atlanta,cumberland-vinings,Cumberland / Vinings field,suburban_mall_edge,1,1,single_tax_prep_anchor,32,5,dense_multi_brand_insurance_service_grid,insurance_broad_tax_prep_light
atlanta,decatur-emory,Decatur / Emory field,inner_service_village,2,2,tax_prep_service_node,8,4,dense_multi_brand_insurance_service_grid,insurance_broad_tax_prep_light
atlanta,north-point-wide,North Point / Alpharetta widened field,edge_city_mall_field,2,1,tax_prep_service_node,37,5,dense_multi_brand_insurance_service_grid,insurance_broad_tax_prep_light
atlanta,northlake,Northlake field,legacy_suburban_mall_node,1,1,single_tax_prep_anchor,11,3,dense_multi_brand_insurance_service_grid,insurance_broad_tax_prep_light
atlanta,perimeter-wide,Perimeter widened field,edge_city_mall_field,2,1,tax_prep_service_node,39,6,dense_multi_brand_insurance_service_grid,insurance_broad_tax_prep_light
chicago,ford-city-cicero,Midway / Ford City field,southwest_airport_edge_field,7,3,multi_brand_tax_prep_service_grid,17,5,dense_multi_brand_insurance_service_grid,confirmed_professional_services_grid
chicago,lincoln-park-lakeview,Lincoln Park / Lakeview field,inner_neighborhood_service_field,5,1,tax_prep_service_node,17,3,dense_multi_brand_insurance_service_grid,insurance_broad_tax_prep_light
chicago,loop-river-north,Loop / River North field,urban_core_mixed_service_field,4,2,multi_brand_tax_prep_service_grid,19,4,dense_multi_brand_insurance_service_grid,confirmed_professional_services_grid
chicago,oakbrook-wide,Oakbrook widened field,west_suburban_edge_city_field,1,1,single_tax_prep_anchor,4,3,multi_brand_insurance_service_grid,light_professional_services_node
chicago,old-orchard-skokie,Old Orchard / Skokie field,north_suburban_mall_field,0,0,checked_absent,2,1,insurance_service_node,insurance_without_tax_prep
chicago,orland-square,Orland Square field,south_suburban_mall_field,1,1,single_tax_prep_anchor,12,5,dense_multi_brand_insurance_service_grid,insurance_broad_tax_prep_light
