anchor_modifier_v0,modifier_rank,region,area_id,label,geography_scope,local_context,total_stores,retail_complexes,has_mall_complex,home_improvement_brands,auto_parts_brands,grocery_brands,mass_retail_brands,drugstore_brands,qsr_brands,nearest_spacing_miles,anchor_evidence_summary
active_regional_mall_anchor,1,puget_sound_anchor_fields,kitsap-mall,Kitsap Mall / Silverdale field,district_field,kitsap_regional_mall_field,18,3,1,2,2,3,2,1,4,0.16,district field has reviewed mall signal plus broad cross-category depth
active_regional_mall_anchor,2,puget_sound_anchor_fields,south-hill-puyallup,South Hill / Puyallup field,district_field,pierce_suburban_mall_field,17,2,1,2,2,2,2,1,4,0.05,district field has reviewed mall signal plus broad cross-category depth
active_regional_mall_anchor,3,north_seattle_south_snohomish,everett,Everett,reviewed_zone,regional_anchor_node,50,4,1,2,4,5,3,2,4,0.05,regional anchor evidence includes repeated auto-parts depth
edge_city_mall_service_grid,1,atlanta_districts,perimeter,Perimeter widened,district_wide,edge_city_mall_field,25,1,1,2,1,4,2,2,4,,widened edge-city mall field with single auto-parts depth
edge_city_mall_service_grid,2,atlanta_districts,north-point-alpharetta,North Point widened,district_wide,edge_city_mall_field,21,1,1,2,1,2,3,1,4,,widened edge-city mall field with single auto-parts depth
urban_mall_service_grid,1,puget_sound_anchor_fields,southcenter-tukwila,Southcenter / Tukwila mall field,district_field,south_king_regional_mall_field,11,4,1,1,0,0,2,0,4,0.05,district field has reviewed mall signal and dense service-grid evidence
urban_mall_service_grid,2,puget_sound_anchor_fields,tacoma-mall,Tacoma Mall field,district_field,south_sound_regional_mall_field,10,3,1,0,2,1,1,0,3,0.06,district field has reviewed mall signal and dense service-grid evidence
urban_mall_service_grid,3,atlanta_districts,cumberland-vinings,Cumberland / Vinings,district_core,suburban_mall_edge,13,2,1,1,0,2,2,0,4,0.08,urban mall district supported by service-category depth
urban_mall_grocery_grid,1,atlanta_districts,buckhead-lenox-phipps,Buckhead / Lenox / Phipps,district_core,urban_luxury_mall_cluster,12,3,1,0,0,4,1,1,1,0.11,urban mall district supported by service-category depth
legacy_mall_service_grid,1,north_seattle_south_snohomish,northgate-lake-city,Northgate / Lake City,reviewed_zone,neighborhood_grocery_service_grid,11,1,1,0,1,4,1,0,4,0.4,mall-shaped geography with service-weighted current stack
legacy_mall_grocery_service_grid,1,atlanta_districts,northlake,Northlake,district_core,legacy_suburban_mall_node,8,1,1,0,0,4,1,1,0,0.22,mall-shaped geography with service-weighted current stack
small_complex_service_edge,1,north_seattle_south_snohomish,edmonds,Edmonds,reviewed_zone,ferry_town_service_edge,8,2,0,0,1,1,0,0,3,0.07,retail-complex signal modifies local service profile
small_complex_service_edge,2,north_seattle_south_snohomish,mountlake-terrace,Mountlake Terrace,reviewed_zone,mixed_edge_node,7,3,0,0,1,3,0,0,0,0.07,retail-complex signal modifies local service profile
small_complex_service_edge,3,puget_sound_anchor_fields,bellevue-core,Bellevue core mall field,district_field,eastside_urban_mall_field,8,3,0,0,0,2,0,2,1,0.44,source-limited Bellevue core field missing Bellevue Square and Lincoln Square reviewed complex rows
complex_service_modifier,1,puget_sound_anchor_fields,factoria,Bellevue Factoria field,district_field,eastside_power_center_mall_edge,7,1,0,0,1,1,1,0,3,0.1,district field has reviewed complex signal but thinner regional-anchor category depth
complex_service_modifier,2,north_seattle_south_snohomish,bothell,Bothell,reviewed_zone,partial_anchor_service_node,14,1,0,1,1,3,0,1,3,0.15,retail-complex signal modifies local service profile
mall_anchor_needs_category_depth,1,atlanta_districts,north-point-alpharetta,North Point / Alpharetta,district_core,north_suburban_mall_node,4,1,1,0,0,0,1,0,2,1.32,mall signal present but category or geometry evidence remains thin
mall_anchor_needs_category_depth,2,atlanta_districts,perimeter,Perimeter,district_core,edge_city_mall_cluster,11,1,1,1,0,2,2,1,2,0.66,mall signal present but category or geometry evidence remains thin
capacity_profile_mixed,1,atlanta_districts,decatur-emory,Decatur / Emory,district_core,inner_service_village,9,1,0,0,0,4,1,1,1,0.21,retail-complex signal modifies local service profile
capacity_profile_mixed,2,atlanta_districts,camp-creek,Camp Creek,district_core,airport_edge_power_center,7,1,0,1,0,1,1,0,3,0.13,retail-complex signal modifies local service profile
no_complex_signal,1,north_seattle_south_snohomish,aurora-north-seattle,Aurora / North Seattle,reviewed_zone,retail_corridor,9,0,0,2,3,1,0,0,2,0.47,no reviewed mall signal in current checked layers
no_complex_signal,2,north_seattle_south_snohomish,mill-creek,Mill Creek,reviewed_zone,mixed_edge_node,6,0,0,1,2,1,0,0,1,0.75,no reviewed mall signal in current checked layers
no_complex_signal,3,north_seattle_south_snohomish,kenmore,Kenmore,reviewed_zone,mixed_edge_node,4,0,0,0,1,2,0,0,1,0.54,no reviewed mall signal in current checked layers
