contract_area,requirement,status,next_action,claim_boundary
estimand,Report bounded sampled target-box share of eligible public-post-office rows by candidate class,defined,Keep denominator as clean eligible sampled rows after current-anchor seed-state and private-shipping gates.,Does not estimate complete service absence or catchment isolation.
sample_unit,Use post-office-centered target boxes as the unit of analysis,defined,Preserve target-box geometry and seed provenance for every sampled row.,Target box is not a city ZIP ZCTA CDP county trade area or catchment.
eligible_denominator,Include only clean public-post-office sampled rows with settlement proxy and completed source gates,defined,Use denominator eligibility builder and exclusion ledger before any share is reported.,Excludes source-gated private-shipping seed-state mismatch and current-anchor-failed rows.
candidate_numerator,Count only rows with current inside-box postal anchor and completed depth/truth dossier status,defined,Require dossier synthesis class before row enters candidate-class numerator.,Target-box candidate numerator only; not confirmed smallest parish.
strata,Report by predefined regional stratum and ALL only,defined,Add future breadth waves through the denominator manifest and keep stratum labels stable.,No stratum frequency claim until stratum sample design and uncertainty rules are met.
uncertainty,Do not report confidence intervals from selected breadth waves,defined,For probability frequency claims define sampling frame randomization weighting and finite-population treatment first.,Current 9/128 is descriptive bounded selected-wave evidence only.
source_gates,Report source-gated and excluded rows alongside every denominator share,defined,Use exclusion ledger and denominator summary as companion artifacts.,No denominator share may hide excluded or gated rows.
allowed_output,Allowed output is descriptive bounded-sample share and candidate-class counts,defined,Label output as bounded sample and attach truth-dossier constraints.,No regional national smallest-parish or service-adequacy claim.
blocked_output,Block regional national and smallest-postal-parish frequency language,defined,Require formal sample design plus another breadth wave before reconsidering.,Blocked until sampling frame coverage and source gates are explicitly handled.
frequency_treatment,Use bounded selected-wave descriptive treatment for current closeout,defined,Use tables/a1b-frequency-treatment-options-2026-08-16.csv and tables/a1b-frequency-language-decision-gate-2026-08-16.csv for claim language.,Selected-wave share is allowed; probability full-frame regional and national claims remain blocked.
