source_item,value,note
regional_stratum,New England,First next-wave breadth stratum after the three baseline states.
state,RI,Rhode Island selected because it is a compact New England extract after live Overpass state/bbox attempts timed out.
source_name,Geofabrik OpenStreetMap GeoPackage extract,Open OSM-derived state extract.
source_url,https://download.geofabrik.de/north-america/us/rhode-island-latest-free.gpkg.zip,Downloaded to tmp for local extraction; source artifact is not committed.
source_timestamp,2026-08-15T20:21:20Z,Timestamp reported by the Geofabrik README inside the downloaded archive.
license_status,open,ODbL; attribution and share-alike required.
extraction_script,scripts/extract_geofabrik_post_office_seed.py,Reusable extractor for Geofabrik GeoPackage post_office POI features.
seed_output,research/tracks/A-lineage/A.1b+minimum-postal-parish/tables/rhode-island-new-england-post-office-seed-2026-08-15.csv,Contains 70 packet-ready post-office seed rows.
target_output,research/tracks/A-lineage/A.1b+minimum-postal-parish/tables/rhode-island-new-england-post-office-sample-targets-2026-08-15.csv,Contains 12 bounded sample targets with settlement_size_proxy=not_joined.
claim_boundary,seed_and_target_scaffold_only,No sidecar classification or regional frequency claim until settlement join and preflight pass.
